RANumb,Text,Label
ra3,"Last Updated: December 29, 2022",Updated Privacy Policy
ra3,"Sources of Personal Information\nThe Company obtains the categories of personal information listed above from the following categories of sources which are described more fully in our Privacy Policy:\n\nDirectly from you. For example, information you provide via a form on our website or when creating a user account in one of our technology solutions.\nIndirectly from you. For example, from logging your actions in our technology solutions or through cookies stored in your browser and similar technologies.\nFrom our Service Providers, for example information obtained through IT service providers or marketing consultants.\nFrom courts or government agencies, for example information received regarding a court subpoena.",Categories of Personal Information Collected
ra3,"Disclosure of Personal information \nThe Company may disclose your personal information to external parties for a business purpose, including those noted above. When we disclose personal information for a business purpose to a Service Provider or Contractor, we enter a contract that describes the purpose and requires the recipient to both keep that personal information confidential and not use it for any purpose except performing the contract.\n\nWe also may disclose your personal information to other third parties when required by law or to meet a legal or compliance obligation.\n\nWe disclose your personal information to the following categories of external parties: \n\nService providers who are providing a service for, or on behalf of, the Company such as information technology partners, contractors provided by staffing agencies, auditors, accountants, marketing consultants.\nIn the case of customer reference data, testimonials or other customer stories related to our solutions, to other customers or prospective customers, but only with prior consent from you.\nRelevant third parties in the event of a reorganization, merger, sale, joint venture, assignment, transfer or other disposition of all or any portion of our business, assets or stock (including in connection with any bankruptcy or similar proceedings).\nAs required by law, such as to comply with a subpoena or other legal process, when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, meet a compliance obligation or respond to government requests, including public and government authorities outside your country of residence, for national security and/or law enforcement purposes.",Categories of Personal Information Shared / Disclosed
ra3,"Your Right to Delete Personal Information\n\nYou have the right to request that the Company delete any of your personal information that we collected from you and retained, subject to certain exceptions. Once we receive and confirm your verifiable consumer request (see Exercising Access, Data Portability, Deletion, and Correction Rights), we will delete (and direct our service providers to delete) your personal information from our records, unless an exception applies. \n\nWe may deny your deletion request if retaining the information is necessary for us or our service provider(s) to:\n\nComplete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with you, or otherwise perform our contract with you.\nDetect security incidents, protect against malicious, deceptive, fraudulent, or illegal activity, or prosecute those responsible for such activities.\nDebug products to identify and repair errors that impair existing intended functionality.    \nExercise free speech, ensure the right of another consumer to exercise their free speech rights, or exercise another right provided for by law.\nComply with the California Electronic Communications Privacy Act (Cal. Penal Code § 1546 et. seq.). \nEngage in public or peer-reviewed scientific, historical, or statistical research in the public interest that adheres to all other applicable ethics and privacy laws, when the information’s deletion may likely render impossible or seriously impair the research’s achievement, if you previously provided informed consent.\nEnable solely internal uses that are reasonably aligned with consumer expectations based on your relationship with us.\nComply with a legal obligation.\nMake other internal and lawful uses of that information that are compatible with the context in which you provided it. ",Description of Right to Delete
ra3,"Your Right to Correct Inaccurate Personal Information\nYou have the right to request that the Company correct inaccurate personal information that we maintain about you. Once we receive and confirm your verifiable consumer request (see Exercising Access, Data Portability, Deletion, and Correction Rights), we will use commercially reasonable efforts to correct (and direct our service providers to correct) your inaccurate personal information in our records.",Description of Right to Correct Information
ra3,"Exercising Access, Data Portability, Deletion and Correction Rights\nTo exercise the access, data portability, deletion, and correction rights described above, please submit a verifiable consumer request via email to privacy@finthrive.com or by calling us toll-free at 1-877-636-5442.",Methods to exercise rights
ra3,"The verifiable consumer request must:\n\nProvide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative. If you are making a request from a personal email, we may need to verify your address or other information to validate against our system information. Authorized representatives may be asked to provide documentation to support their role.\nDescribe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it.",Methods to exercise rights
ra3,"Your Right to Opt-Out of Personal Information Sale or Sharing\nThe Company does not sell or share personal information described in this Notice. However, if you are 16 years of age or older, you have the right to direct us to not sell or share your personal information at any time (the “right to opt-out”). We will maintain your preference on file to prevent any future sale or sharing.",Description of Right to Opt-out of sale of PI
ra3,"To exercise the right to opt-out, you (or your authorized representative) may submit a request via email to privacy@finthrive.com or by calling us toll free at 1-877-636-5442.",Methods to exercise rights
ra3,Your Right to Limit the Use and Disclosure of Sensitive Personal Information\nYou have the right to request that the Company limit its use of your sensitive personal information when used for purposes other than those permitted by the CCPA/CPRA and its implementing regulations. ,Description of Right to Limit use of PI
